30 300 4
22 29 18 20
-23 17 20 -15
-28 -29 -23 10
21 6 25 13
-24 15 -9 2
16 30 5 -9
-16 1 -19 9
15 -2 24 -9
3 21 -25 12
-18 20 25 14
22 -26 -28 20
-16 -29 -17 -1
-1 -25 20 -28
21 18 -29 7
-12 26 -29 -1
27 3 -10 -16
10 20 -26 27
24 19 17 23
-30 4 -21 2
-15 17 -28 5
-28 5 17 -24
-7 -24 -14 -20
-19 -4 2 -1
23 -5 -13 -14
-23 -1 -17 -11
-20 12 17 -30
2 6 12 -10
-23 27 -1 7
-15 14 -20 7
6 -18 -14 22
18 25 -7 3
14 10 -1 -25
5 -10 16 -26
15 -17 -4 -30
-25 1 -11 -2
-4 -10 29 9
25 3 -1 11
-11 7 15 -14
-8 -6 12 -13
-7 22 26 -24
-4 -9 -6 -19
-25 16 -15 -7
12 9 -10 3
29 9 -15 8
6 -18 -9 16
-27 10 -3 2
29 8 15 14
-14 17 21 -27
10 -17 12 -21
-15 2 -26 -11
-13 9 25 -28
-12 25 -23 -15
30 -10 3 22
-27 26 19 -9
15 11 1 -25
-15 23 -30 18
5 21 2 -30
6 -9 -15 5
7 6 -24 3
-26 -24 -21 8
25 -22 -14 19
-3 -13 20 28
15 28 24 26
-29 2 15 -30
13 28 -24 4
17 5 -2 25
-6 -20 4 3
17 -16 -15 10
14 -10 -1 -28
-7 8 13 -10
25 -16 3 -4
25 -14 -9 27
-22 20 -23 5
24 -23 -21 -20
26 -2 27 -30
-26 24 -12 -14
9 -30 -12 17
20 -30 25 -22
19 28 9 27
-26 18 -11 -25
-11 30 17 -8
28 14 17 -21
11 -1 -4 -19
3 4 -16 7
-16 -6 3 -1
25 -1 19 24
6 4 -7 24
11 -29 22 8
-18 16 8 14
28 -16 27 1
-15 -29 22 13
20 -17 -11 22
14 -20 10 25
18 -7 24 -23
-3 -19 29 23
-1 -23 -19 25
24 -11 -26 27
-29 26 -3 23
13 -19 -4 5
-21 -5 9 -29
20 -25 -14 26
18 -2 -12 -22
-11 28 20 -22
-5 23 -16 21
13 -18 6 3
13 -21 -11 28
11 14 -27 -5
-22 -7 -25 -30
-1 16 -18 -20
-7 -8 22 19
-9 2 25 -21
-18 -6 28 24
16 14 21 -17
16 -20 -5 11
-27 -8 -3 16
-23 -24 -17 -12
17 21 12 13
-22 20 10 -25
-26 9 -20 1
29 -17 -5 -28
-5 -10 -30 12
14 8 -22 -6
24 23 7 29
22 11 28 -7
15 6 -21 -16
-26 10 -9 12
3 4 22 -20
-7 -27 -30 22
-20 6 -5 -13
16 -6 2 13
3 27 -12 -9
-20 -24 -18 -25
-17 -6 -14 18
6 -17 14 18
4 15 27 6
6 -9 -7 -28
-22 -20 -4 26
12 11 -4 28
10 18 4 25
-6 26 23 1
-19 3 -30 20
21 3 15 -4
-4 -15 7 18
-14 -9 -1 -25
-23 20 -21 -6
-2 5 -25 28
26 -15 19 22
-17 -12 -13 -5
19 -7 23 11
10 29 2 24
3 -7 13 -22
9 12 7 -8
14 -30 -18 -7
-14 -29 -11 6
-14 -7 16 20
25 -24 -7 16
16 25 22 28
15 17 13 22
10 20 -28 22
-2 -27 16 -26
-6 15 -9 3
-3 5 29 23
20 11 16 -29
-1 25 10 -27
-15 -8 -30 6
-24 20 -26 7
29 4 -26 -24
12 4 13 29
-14 26 6 -4
-27 -11 26 -2
11 -15 -3 -6
3 -15 13 18
22 1 9 23
-24 17 -21 -26
-7 20 -12 25
-2 -11 -4 -5
-15 2 -29 3
2 21 23 -26
20 29 28 13
22 11 -1 17
-20 -28 -16 12
-22 16 28 -19
10 24 -28 -5
8 28 27 1
-22 -1 -12 27
7 -20 1 3
-9 26 -17 27
13 17 15 -16
-26 -23 16 29
-26 8 3 4
-12 6 -29 -16
5 26 9 19
9 10 1 15
13 2 29 -4
-7 22 -2 21
30 12 21 3
11 -5 -23 14
-12 17 -11 -15
-13 11 27 1
-27 10 -21 9
10 -9 30 -13
-22 15 -8 25
17 -19 1 -25
8 16 26 -28
8 16 -11 6
27 -18 29 -5
-1 21 9 -13
-4 12 -19 18
26 -18 4 25
20 -4 -1 29
-28 21 4 10
26 28 20 -29
2 -9 25 -28
-4 28 26 25
-27 -19 -13 30
16 -11 19 2
11 1 22 26
5 8 27 -18
-7 23 15 16
-18 3 -10 20
-10 -12 -25 -11
-8 -7 27 1
23 -13 8 28
-28 16 -22 -7
-28 25 -24 -11
24 -4 8 -28
4 -11 -14 23
-20 8 -17 -14
-22 -15 -6 27
12 -2 21 15
-23 20 -21 -2
-21 -23 -12 -6
-2 7 29 23
6 16 -19 -11
-8 -18 11 28
29 24 -1 28
-27 15 -3 10
29 -14 -8 -22
-14 3 6 -4
8 4 -27 15
-24 -10 21 20
24 -17 5 -7
-9 4 -22 17
-6 17 16 12
9 -14 -2 -10
-9 -2 18 24
23 20 17 -9
-21 25 15 30
